time,sm
2020-01-01,0.33338428
2020-01-02,0.3355467
2020-01-03,0.33602992
2020-01-04,0.33548832
2020-01-05,0.33530927
2020-01-06,0.332845
2020-01-07,0.33388746
2020-01-08,0.33168352
2020-01-09,0.3349865
2020-01-10,0.33638167
2020-01-11,0.33687672
2020-01-12,0.3365169
2020-01-13,0.3334145
2020-01-14,0.33392933
2020-01-15,0.33221176
2020-01-16,0.33095777
2020-01-17,0.33200258
2020-01-18,0.33127072
2020-01-19,0.33096012
2020-01-20,0.33048457
2020-01-21,0.3306014
2020-01-22,0.3315024
2020-01-23,0.3328482
2020-01-24,0.33143333
2020-01-25,0.33087146
2020-01-26,0.33103925
2020-01-27,0.33027443
2020-01-28,0.32908133
2020-01-29,0.33053353
2020-01-30,0.331556
2020-01-31,0.333034
2020-02-01,0.33163816
2020-02-02,0.33112338
2020-02-03,0.329793
2020-02-04,0.33289042
2020-02-05,0.3310715
2020-02-06,0.33396026
2020-02-07,0.33334538
2020-02-08,0.33643046
2020-02-09,0.3356013
2020-02-10,0.0
2020-02-11,0.33760422
2020-02-12,0.33490914
2020-02-13,0.33576834
2020-02-14,0.33504605
2020-02-15,0.33570263
2020-02-16,0.3363573
2020-02-17,0.3358477
2020-02-18,0.33942983
2020-02-19,0.34063464
2020-02-20,0.33694786
2020-02-21,0.33631673
2020-02-22,0.3350831
2020-02-23,0.33417517
2020-02-24,0.33559895
2020-02-25,0.33409038
2020-02-26,0.33370295
2020-02-27,0.332139
2020-02-28,0.33212242
2020-02-29,0.33224708
2020-03-01,0.3311007
2020-03-02,0.3304468
2020-03-03,0.0
2020-03-04,0.331979
2020-03-05,0.33478665
2020-03-06,0.33407658
2020-03-07,0.33403113
2020-03-08,0.33206835
2020-03-09,0.33113822
2020-03-10,0.3294889
2020-03-11,0.32958972
2020-03-12,0.32822537
2020-03-13,0.3285829
2020-03-14,0.32849273
2020-03-15,0.32781112
2020-03-16,0.32692513
2020-03-17,0.328639
2020-03-18,0.32943395
2020-03-19,0.0
2020-03-20,0.33228546
2020-03-21,0.33339766
2020-03-22,0.3333063
2020-03-23,0.33334285
2020-03-24,0.33378893
2020-03-25,0.33286065
2020-03-26,0.33290747
2020-03-27,0.3362429
2020-03-28,0.33219588
2020-03-29,0.33266973
2020-03-30,0.33210024
2020-03-31,0.3336344
2020-04-01,0.3329156
2020-04-02,0.33264223
2020-04-03,0.333886
2020-04-04,0.0
2020-04-05,0.3310274
2020-04-06,0.3332168
2020-04-07,0.3339624
2020-04-08,0.33378187
2020-04-09,0.33176503
2020-04-10,0.33237982
2020-04-11,0.33133084
2020-04-12,0.33094403
2020-04-13,0.33061907
2020-04-14,0.33071604
2020-04-15,0.33175844
2020-04-16,0.3316559
2020-04-17,0.3292652
2020-04-18,0.33001918
2020-04-19,0.33007777
2020-04-20,0.329509
2020-04-21,0.3285294
2020-04-22,0.32727897
2020-04-23,0.32809186
2020-04-24,0.33140555
2020-04-25,0.33001974
2020-04-26,0.33374533
2020-04-27,0.33240357
2020-04-28,0.33641225
2020-04-29,0.33602872
2020-04-30,0.33439595
2020-05-01,0.33687195
2020-05-02,0.33654973
