time,sm
2023-08-04,0.31056985
2023-08-05,0.3120378
2023-08-06,0.3090648
2023-08-07,0.30677184
2023-08-08,0.3068413
2023-08-09,0.3068744
2023-08-10,0.30499434
2023-08-11,0.3078248
2023-08-12,0.3104484
2023-08-13,0.30063903
2023-08-14,0.30299732
2023-08-15,0.30441788
2023-08-16,0.3025728
2023-08-17,0.30673435
2023-08-18,0.30280796
2023-08-19,0.2997171
2023-08-20,0.30397698
2023-08-21,0.30257982
2023-08-22,0.30531222
2023-08-23,0.3057299
2023-08-24,0.3017493
2023-08-25,0.30582693
2023-08-26,0.30496684
2023-08-27,0.30552828
2023-08-28,0.30284327
2023-08-29,0.29713044
2023-08-30,0.2970542
2023-08-31,0.2941764
2023-09-01,0.29294664
2023-09-02,0.29994458
2023-09-03,0.29678574
2023-09-04,0.29342774
2023-09-05,0.2998217
2023-09-06,0.29811677
2023-09-07,0.30138034
2023-09-08,0.2965753
2023-09-09,0.29526228
2023-09-10,0.30151582
2023-09-11,0.30047873
2023-09-12,0.30376726
2023-09-13,0.29833907
2023-09-14,0.29644024
2023-09-15,0.30200216
2023-09-16,0.29826814
2023-09-17,0.2973459
2023-09-18,0.30037308
2023-09-19,0.30326223
2023-09-20,0.30287057
2023-09-21,0.3048832
2023-09-22,0.29952094
2023-09-23,0.2951747
2023-09-24,0.29603317
2023-09-25,0.2980509
2023-09-26,0.29585525
2023-09-27,0.294291
2023-09-28,0.29625317
2023-09-29,0.29248536
2023-09-30,0.2992885
2023-10-01,0.29034877
2023-10-02,0.28895396
2023-10-03,0.29110438
2023-10-04,0.29363135
2023-10-05,0.29607502
2023-10-06,0.28952518
2023-10-07,0.29667416
2023-10-08,0.2956136
2023-10-09,0.29202777
2023-10-10,0.29621103
2023-10-11,0.29425493
2023-10-12,0.2953367
2023-10-13,0.29298553
2023-10-14,0.29561162
2023-10-15,0.29194853
2023-10-16,0.28989217
2023-10-17,0.2906366
2023-10-18,0.29397923
2023-10-19,0.2982431
2023-10-20,0.3006859
2023-10-21,0.302982
2023-10-22,0.30049688
2023-10-23,0.30407822
2023-10-24,0.30414048
2023-10-25,0.3030408
2023-10-26,0.30080155
2023-10-27,0.30438614
2023-10-28,0.3054008
2023-10-29,0.30264708
2023-10-30,0.30637905
2023-10-31,0.3037923
2023-11-01,0.30706686
2023-11-02,0.31018773
2023-11-03,0.31146887
2023-11-04,0.31284684
2023-11-05,0.3138697
2023-11-06,0.3172227
2023-11-07,0.3105635
2023-11-08,0.3121286
2023-11-09,0.3112516
2023-11-10,0.31526282
2023-11-11,0.31595472
2023-11-12,0.31069058
2023-11-13,0.31529784
2023-11-14,0.31263703
2023-11-15,0.31675586
2023-11-16,0.3148291
2023-11-17,0.31759098
2023-11-18,0.3165981
2023-11-19,0.3157049
2023-11-20,0.31519276
2023-11-21,0.31580412
2023-11-22,0.31733167
2023-11-23,0.31800693
2023-11-24,0.31930122
2023-11-25,0.32292715
2023-11-26,0.323207
2023-11-27,0.32436082
2023-11-28,0.32553294
2023-11-29,0.3289692
2023-11-30,0.32468367
2023-12-01,0.33600053
2023-12-02,0.32826802
2023-12-03,0.33301365
2023-12-04,0.33586475
2023-12-05,0.3299254
2023-12-06,0.32896072
2023-12-07,0.32821637
2023-12-08,0.333833
2023-12-09,0.32870594
2023-12-10,0.33340845
2023-12-11,0.3325254
2023-12-12,0.33011472
2023-12-13,0.32944903
2023-12-14,0.3311896
2023-12-15,0.33330405
2023-12-16,0.3247913
2023-12-17,0.33170506
2023-12-18,0.32929146
2023-12-19,0.32911292
2023-12-20,0.32715085
2023-12-21,0.32547545
2023-12-22,0.32816052
2023-12-23,0.33129513
2023-12-24,0.3318789
2023-12-25,0.32813028
2023-12-26,0.33597034
2023-12-27,0.33427453
2023-12-28,0.33878917
2023-12-29,0.33554402
2023-12-30,0.3363944
2023-12-31,0.33680722
